time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elbv2:DescribeLoadBalancers" cache=miss region=us-east-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codecommit:ListRepositories" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-sageMakerCreateProcessingJobPassRole-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elasticache:DescribeCacheClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elbv2:DescribeLoadBalancers" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elb:DescribeLoadBalancers" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=hit region=ap-southeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elasticbeanstalk:DescribeApplications" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeImages" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="apigateway:GetRestApis" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="apigatewayv2:GetApis" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="apigateway:GetRestApis" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="apigatewayv2:GetApis" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-sageMakerCreateTrainingJobPassRole-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDataCatalogs" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDataCatalogs" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="cloudformation:ListStacks" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="cloudformation:ListStacks" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codeartifact:ListDomains" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codebuild:ListProjects" cache=hit region=eu-central-1
